business_id,county_id,business_name,business_type,employees,revenue_band,established_year
1,31,Biz_1E14MTO,Agriculture,8,10000-50000,1999
2,11,Biz_QOSZU4Z,Transport,6,<10000,1992
3,4,Biz_8WUQL4K,Hospitality,7,<10000,1996
4,30,Biz_QRNXHGQ,Retail,9,50001-200000,2012
5,28,Biz_9C15VYK,Transport,11,50001-200000,2003
6,22,Biz_A4QU3ZT,Other,6,200001-1M,2000
7,26,Biz_VM444RO,Agriculture,10,<10000,2012
8,18,Biz_QLUMB66,Hospitality,17,10000-50000,2011
9,43,Biz_1V4IKR1,Services,11,50001-200000,1995
10,18,Biz_RR8JRUX,Manufacturing,8,<10000,2001
11,30,Biz_9UDP3AF,Transport,7,10000-50000,1980
12,18,Biz_DCJQT3V,Retail,11,>1M,1992
13,47,Biz_76D2M3Q,Retail,4,50001-200000,2005
14,16,Biz_YEAENW9,Other,5,10000-50000,2006
15,22,Biz_TL9QW0U,Transport,12,200001-1M,1990
16,29,Biz_PZNMWPF,Hospitality,9,10000-50000,2000
17,30,Biz_MCCFBZT,Other,7,10000-50000,1980
18,18,Biz_J8060ST,Transport,9,10000-50000,2007
19,46,Biz_58FYONA,Hospitality,8,10000-50000,2019
20,34,Biz_ZMZIU6O,Hospitality,8,10000-50000,2017
21,12,Biz_YMD0QHM,Services,6,50001-200000,1997
22,47,Biz_2LXKEMU,Other,5,10000-50000,1993
23,30,Biz_M171MDS,Hospitality,7,10000-50000,1984
24,13,Biz_POJZ7OJ,Transport,10,<10000,2015
25,43,Biz_XFRVPHS,Retail,11,10000-50000,1992
26,1,Biz_G18CZJX,Hospitality,3,<10000,1999
27,15,Biz_11NQRCX,Other,2,200001-1M,1994
28,9,Biz_1MHTPYH,Services,10,10000-50000,2019
29,11,Biz_LCG1FED,Transport,6,>1M,1980
30,43,Biz_RG3378F,Retail,7,<10000,2023
31,43,Biz_YW5FVKU,Hospitality,10,200001-1M,1982
32,13,Biz_UZEHAC7,Hospitality,12,<10000,2010
33,40,Biz_JVSJ24A,Hospitality,17,200001-1M,1999
34,22,Biz_19J5G7T,Transport,6,10000-50000,2000
35,37,Biz_ZSOL5S2,Hospitality,12,50001-200000,1980
36,23,Biz_S5TL8LI,Manufacturing,10,10000-50000,2007
37,4,Biz_RP9M2LN,Agriculture,6,<10000,1997
38,42,Biz_KMFYZDF,Retail,4,<10000,2023
39,4,Biz_3BJ90Y6,Retail,12,50001-200000,2015
40,17,Biz_SUSIA6Q,Manufacturing,9,10000-50000,1999
41,18,Biz_BHLPHHY,Manufacturing,7,200001-1M,2014
42,32,Biz_A8IADDW,Transport,4,<10000,2002
43,31,Biz_VQUK38Q,Agriculture,12,10000-50000,2022
44,6,Biz_KFAIZTY,Retail,5,>1M,2003
45,38,Biz_E6854X1,Other,12,<10000,1998
46,43,Biz_890IOIE,Other,6,10000-50000,1986
47,30,Biz_GZTL71H,Manufacturing,8,200001-1M,1984
48,17,Biz_YEJGQQI,Hospitality,8,<10000,2021
49,36,Biz_OLWK3UK,Transport,3,<10000,1980
50,36,Biz_95M7P93,Hospitality,7,<10000,1994
51,26,Biz_S631NWS,Manufacturing,6,50001-200000,2009
52,3,Biz_YA959FE,Agriculture,2,50001-200000,2011
53,7,Biz_TIHKXFZ,Other,13,<10000,1993
