
agri_id,county_id,year,maize_output_tonnes,tea_output_tonnes,rainfall_mm
1,1,2014,89000,0,850
2,1,2015,92000,0,920
3,1,2016,87000,0,780
4,1,2017,95000,0,950
5,1,2018,91000,0,870
6,1,2019,98000,0,1020
7,1,2020,85000,0,720
8,1,2021,94000,0,890
9,1,2022,99000,0,980
10,1,2023,96000,0,940
11,1,2024,101000,0,1050
12,2,2014,82000,0,780
13,2,2015,85000,0,840
14,2,2016,79000,0,690
15,2,2017,88000,0,870
16,2,2018,84000,0,800
17,2,2019,91000,0,920
18,2,2020,77000,0,650
19,2,2021,86000,0,810
20,2,2022,92000,0,890
21,2,2023,89000,0,860
22,2,2024,94000,0,950
23,3,2014,145000,0,920
24,3,2015,151000,0,1000
25,3,2016,139000,0,820
26,3,2017,156000,0,1050
27,3,2018,148000,0,950
28,3,2019,162000,0,1120
29,3,2020,134000,0,750
30,3,2021,153000,0,980
31,3,2022,165000,0,1080
32,3,2023,159000,0,1040
33,3,2024,169000,0,1150
34,4,2014,87000,0,870
35,4,2015,90000,0,940
36,4,2016,84000,0,790
37,4,2017,93000,0,970
38,4,2018,89000,0,890
39,4,2019,96000,0,1040
40,4,2020,82000,0,730
41,4,2021,91000,0,910
42,4,2022,97000,0,1000
43,4,2023,94000,0,960
44,4,2024,99000,0,1070
45,5,2014,78000,0,810
46,5,2015,81000,0,870
47,5,2016,75000,0,720
48,5,2017,84000,0,900
49,5,2018,80000,0,830
50,5,2019,87000,0,950
51,5,2020,73000,0,680
52,5,2021,82000,0,850
53,5,2022,88000,0,920
54,5,2023,85000,0,880
55,5,2024,90000,0,980
56,6,2014,56000,0,650
57,6,2015,58000,0,700
58,6,2016,53000,0,570
59,6,2017,61000,0,730
60,6,2018,58000,0,670
61,6,2019,63000,0,770
62,6,2020,51000,0,520
63,6,2021,59000,0,690
64,6,2022,64000,0,750
65,6,2023,62000,0,710
66,6,2024,66000,0,790
67,7,2014,69000,0,760
68,7,2015,72000,0,820
69,7,2016,66000,0,680
70,7,2017,74000,0,850
71,7,2018,71000,0,780
72,7,2019,77000,0,900
73,7,2020,64000,0,630
74,7,2021,73000,0,800
75,7,2022,78000,0,870
76,7,2023,75000,0,830
77,7,2024,80000,0,920
78,8,2014,92000,0,890
79,8,2015,96000,0,960
80,8,2016,89000,0,810
81,8,2017,99000,0,990
82,8,2018,94000,0,910
83,8,2019,102000,0,1050
84,8,2020,87000,0,760
85,8,2021,97000,0,930
86,8,2022,103000,0,1020
87,8,2023,100000,0,980
88,8,2024,106000,0,1090
89,9,2014,34000,0,1100
90,9,2015,36000,0,1180
91,9,2016,32000,0,980
92,9,2017,37000,0,1210
93,9,2018,35000,0,1120
94,9,2019,39000,0,1280
95,9,2020,31000,0,920
96,9,2021,36000,0,1150
97,9,2022,40000,0,1240
98,9,2023,38000,0,1190
99,9,2024,41000,0,1310
100,10,2014,67000,0,740
101,10,2015,70000,0,800
102,10,2016,64000,0,660
103,10,2017,72000,0,830
104,10,2018,69000,0,760
105,10,2019,75000,0,880
106,10,2020,62000,0,610
107,10,2021,71000,0,780
108,10,2022,76000,0,850
109,10,2023,73000,0,810
110,10,2024,78000,0,900
111,11,2014,105000,0,940
112,11,2015,109000,0,1010
113,11,2016,100000,0,850
114,11,2017,112000,0,1040
115,11,2018,107000,0,960
116,11,2019,116000,0,1100
117,11,2020,98000,0,790
118,11,2021,110000,0,990
119,11,2022,117000,0,1070
120,11,2023,113000,0,1020
121,11,2024,120000,0,1130
122,12,2014,74000,0,820
123,12,2015,77000,0,880
124,12,2016,71000,0,740
125,12,2017,79000,0,910
126,12,2018,76000,0,840
127,12,2019,82000,0,960
128,12,2020,69000,0,690
129,12,2021,78000,0,860
130,12,2022,83000,0,930
131,12,2023,80000,0,890
132,12,2024,85000,0,980
133,13,2014,48000,0,580
134,13,2015,50000,0,630
135,13,2016,46000,0,510
136,13,2017,52000,0,660
137,13,2018,49000,0,600
138,13,2019,53000,0,700
139,13,2020,45000,0,470
140,13,2021,51000,0,620
141,13,2022,54000,0,680
142,13,2023,52000,0,640
143,13,2024,56000,0,720
144,14,2014,88000,0,880
145,14,2015,92000,0,950
146,14,2016,85000,0,800
147,14,2017,95000,0,980
148,14,2018,90000,0,900
149,14,2019,97000,0,1030
150,14,2020,83000,0,750
151,14,2021,93000,0,920
152,14,2022,98000,0,1000
153,14,2023,95000,0,960
154,14,2024,101000,0,1060
155,15,2014,81000,0,850
156,15,2015,84000,0,920
157,15,2016,78000,0,770
158,15,2017,87000,0,950
159,15,2018,83000,0,870
160,15,2019,90000,0,1000
161,15,2020,76000,0,720
162,15,2021,85000,0,890
163,15,2022,91000,0,970
164,15,2023,88000,0,930
165,15,2024,93000,0,1030
166,16,2014,86000,0,870
167,16,2015,89000,0,940
168,16,2016,83000,0,790
169,16,2017,92000,0,970
170,16,2018,88000,0,890
171,16,2019,95000,0,1020
172,16,2020,81000,0,730
173,16,2021,90000,0,910
174,16,2022,96000,0,990
175,16,2023,93000,0,950
176,16,2024,98000,0,1050
177,17,2014,14000,98000,1650
178,17,2015,15000,102000,1720
179,17,2016,13000,94000,1520
180,17,2017,16000,105000,1780
181,17,2018,15000,100000,1670
182,17,2019,17000,108000,1850
183,17,2020,12000,91000,1460
184,17,2021,15000,103000,1700
185,17,2022,17000,109000,1810
186,17,2023,16000,106000,1750
187,17,2024,18000,112000,1890
188,18,2014,11000,89000,1580
189,18,2015,12000,93000,1640
190,18,2016,10000,85000,1450
191,18,2017,13000,96000,1700
192,18,2018,12000,91000,1600
193,18,2019,14000,98000,1770
194,18,2020,9000,83000,1390
195,18,2021,12000,94000,1630
196,18,2022,14000,99000,1730
197,18,2023,13000,96000,1670
198,18,2024,15000,102000,1810
199,19,2014,72000,0,790
200,19,2015,75000,0,850
201,19,2016,69000,0,710
202,19,2017,77000,0,880
203,19,2018,74000,0,810
204,19,2019,80000,0,930
205,19,2020,67000,0,660
206,19,2021,76000,0,830
207,19,2022,81000,0,900
208,19,2023,78000,0,860
209,19,2024,83000,0,950
