economy_id,county_id,year,avg_income,unemployment_rate,gdp_estimate
1,1,2014,42300,12.4,145000000000
2,1,2015,44100,11.8,151200000000
3,1,2016,46000,11.2,157800000000
4,1,2017,48100,10.7,164900000000
5,1,2018,50300,10.1,172500000000
6,1,2019,52700,9.6,180700000000
7,1,2020,51200,13.8,175400000000
8,1,2021,54200,11.5,186300000000
9,1,2022,57500,9.8,198600000000
10,1,2023,60900,8.9,211800000000
11,1,2024,64500,8.2,225900000000
12,2,2014,48700,9.3,132000000000
13,2,2015,50800,8.9,137800000000
14,2,2016,53100,8.4,143900000000
15,2,2017,55500,8.0,150500000000
16,2,2018,58100,7.5,157600000000
17,2,2019,60900,7.1,165200000000
18,2,2020,59300,10.2,160300000000
19,2,2021,62800,8.6,170100000000
20,2,2022,66600,7.4,181200000000
21,2,2023,70600,6.7,193100000000
22,2,2024,74800,6.1,205900000000
23,3,2014,38900,15.7,187000000000
24,3,2015,40600,15.1,195100000000
25,3,2016,42400,14.6,203700000000
26,3,2017,44300,14.0,212800000000
27,3,2018,46400,13.5,222400000000
28,3,2019,48600,12.9,232700000000
29,3,2020,47200,16.7,225800000000
30,3,2021,50000,14.2,239600000000
31,3,2022,53100,12.1,255200000000
32,3,2023,56400,11.0,271900000000
33,3,2024,59900,10.1,289800000000
34,4,2014,41200,13.1,138000000000
35,4,2015,43000,12.5,144000000000
36,4,2016,44900,11.9,150400000000
37,4,2017,46900,11.4,157200000000
38,4,2018,49100,10.8,164400000000
39,4,2019,51400,10.3,172100000000
40,4,2020,50000,13.9,167000000000
41,4,2021,52900,11.7,177200000000
42,4,2022,56100,10.0,188900000000
43,4,2023,59500,9.1,201400000000
44,4,2024,63100,8.4,214700000000
45,5,2014,39800,14.2,128000000000
46,5,2015,41500,13.7,133600000000
47,5,2016,43400,13.1,139500000000
48,5,2017,45400,12.6,145800000000
49,5,2018,47500,12.0,152500000000
50,5,2019,49700,11.5,159600000000
51,5,2020,48300,15.1,154900000000
52,5,2021,51200,12.8,164300000000
53,5,2022,54300,10.9,175100000000
54,5,2023,57600,9.9,186700000000
55,5,2024,61100,9.1,199100000000
56,6,2014,36700,16.8,98000000000
57,6,2015,38300,16.2,102200000000
58,6,2016,40000,15.7,106700000000
59,6,2017,41800,15.1,111500000000
60,6,2018,43700,14.6,116600000000
61,6,2019,45700,14.0,122000000000
62,6,2020,44400,17.9,118400000000
63,6,2021,47100,15.3,125700000000
64,6,2022,50000,13.1,133900000000
65,6,2023,53100,11.9,142800000000
66,6,2024,56400,10.9,152300000000
67,7,2014,44600,10.7,124000000000
68,7,2015,46500,10.2,129400000000
69,7,2016,48600,9.7,135100000000
70,7,2017,50800,9.3,141200000000
71,7,2018,53200,8.8,147700000000
72,7,2019,55700,8.4,154600000000
73,7,2020,54200,11.8,150000000000
74,7,2021,57400,10.0,159200000000
75,7,2022,60900,8.5,169600000000
76,7,2023,64600,7.7,180800000000
77,7,2024,68500,7.1,192800000000
78,8,2014,40800,13.6,149000000000
79,8,2015,42600,13.0,155500000000
80,8,2016,44500,12.5,162400000000
81,8,2017,46500,11.9,169800000000
82,8,2018,48700,11.4,177700000000
83,8,2019,51000,10.9,186100000000
84,8,2020,49600,14.6,180600000000
85,8,2021,52500,12.4,191600000000
86,8,2022,55700,10.6,204100000000
87,8,2023,59100,9.6,217600000000
88,8,2024,62700,8.8,232100000000
89,9,2014,67800,7.2,892000000000
90,9,2015,70700,6.8,930800000000
91,9,2016,73900,6.4,971400000000
92,9,2017,77300,6.1,1014100000000
93,9,2018,80900,5.7,1059100000000
94,9,2019,84800,5.4,1106500000000
95,9,2020,82500,8.9,1073800000000
96,9,2021,87400,7.2,1139000000000
97,9,2022,92700,6.1,1213400000000
98,9,2023,98400,5.5,1293700000000
99,9,2024,104400,5.0,1379500000000
100,10,2014,52300,8.9,128000000000
101,10,2015,54600,8.5,133600000000
102,10,2016,57100,8.1,139500000000
103,10,2017,59700,7.7,145800000000
104,10,2018,62500,7.3,152500000000
105,10,2019,65400,7.0,159600000000
106,10,2020,63600,10.1,154900000000
107,10,2021,67400,8.5,164300000000
108,10,2022,71500,7.3,175100000000
109,10,2023,75800,6.6,186700000000
110,10,2024,80400,6.0,199100000000
111,11,2014,37400,15.1,156000000000
112,11,2015,39100,14.6,162800000000
113,11,2016,40900,14.0,170000000000
114,11,2017,42800,13.5,177700000000
115,11,2018,44800,12.9,185900000000
116,11,2019,46900,12.4,194600000000
117,11,2020,45600,16.2,188800000000
118,11,2021,48300,13.7,200400000000
119,11,2022,51300,11.7,213600000000
120,11,2023,54500,10.6,227800000000
121,11,2024,57900,9.7,243000000000
122,12,2014,38200,14.7,118000000000
123,12,2015,39900,14.1,123100000000
124,12,2016,41700,13.6,128600000000
125,12,2017,43600,13.0,134400000000
126,12,2018,45600,12.5,140600000000
127,12,2019,47700,12.0,147100000000
128,12,2020,46400,15.7,142800000000
129,12,2021,49200,13.3,151500000000
130,12,2022,52200,11.4,161500000000
131,12,2023,55400,10.4,172200000000
132,12,2024,58800,9.5,183700000000
133,13,2014,34600,17.9,79000000000
134,13,2015,36100,17.3,82400000000
135,13,2016,37700,16.8,86000000000
136,13,2017,39400,16.2,89900000000
137,13,2018,41200,15.7,94000000000
138,13,2019,43100,15.1,98400000000
139,13,2020,41900,19.2,95500000000
140,13,2021,44400,16.5,101400000000
141,13,2022,47100,14.1,108000000000
142,13,2023,50000,12.8,115200000000
143,13,2024,53100,11.7,122900000000
144,14,2014,40500,13.8,142000000000
145,14,2015,42300,13.2,148200000000
146,14,2016,44200,12.7,154800000000
147,14,2017,46200,12.1,161800000000
148,14,2018,48300,11.6,169200000000
149,14,2019,50600,11.1,177100000000
150,14,2020,49200,14.9,171900000000
151,14,2021,52100,12.6,182400000000
152,14,2022,55300,10.8,194400000000
153,14,2023,58700,9.8,207300000000
154,14,2024,62300,9.0,221100000000
155,15,2014,39100,14.5,132000000000
156,15,2015,40800,13.9,137800000000
157,15,2016,42600,13.4,143900000000
158,15,2017,44600,12.8,150500000000
159,15,2018,46700,12.3,157600000000
160,15,2019,48900,11.8,165200000000
161,15,2020,47500,15.4,160300000000
162,15,2021,50300,13.1,170100000000
163,15,2022,53400,11.2,181200000000
164,15,2023,56700,10.2,193100000000
165,15,2024,60200,9.3,205900000000
166,16,2014,37800,15.4,135000000000
167,16,2015,39500,14.8,140900000000
168,16,2016,41300,14.3,147200000000
169,16,2017,43200,13.7,153900000000
170,16,2018,45200,13.2,161100000000
171,16,2019,47300,12.6,168800000000
172,16,2020,46000,16.4,163800000000
173,16,2021,48800,13.9,173800000000
174,16,2022,51800,11.9,185200000000
175,16,2023,55000,10.8,197400000000
176,16,2024,58400,9.9,210500000000
177,17,2014,43200,11.8,125000000000
178,17,2015,45100,11.3,130500000000
179,17,2016,47100,10.8,136300000000
180,17,2017,49200,10.3,142500000000
181,17,2018,51500,9.9,149100000000
182,17,2019,53900,9.5,156100000000
183,17,2020,52400,12.9,151500000000
184,17,2021,55500,10.9,161000000000
185,17,2022,58900,9.3,171500000000
186,17,2023,62500,8.5,182800000000
187,17,2024,66300,7.8,194900000000
188,18,2014,42800,12.1,110000000000
189,18,2015,44700,11.6,114800000000
190,18,2016,46700,11.1,119900000000
191,18,2017,48800,10.6,125400000000
192,18,2018,51100,10.2,131200000000
193,18,2019,53500,9.7,137300000000
194,18,2020,52000,13.2,133200000000
195,18,2021,55100,11.2,141400000000
196,18,2022,58500,9.6,150600000000
197,18,2023,62100,8.7,160500000000
198,18,2024,65900,8.0,171200000000
199,19,2014,36200,16.2,112000000000
200,19,2015,37800,15.7,116900000000
201,19,2016,39500,15.1,122100000000
202,19,2017,41300,14.5,127600000000
203,19,2018,43200,14.0,133500000000
204,19,2019,45200,13.4,139700000000
205,19,2020,43900,17.3,135600000000
206,19,2021,46600,14.8,143900000000
207,19,2022,49400,12.6,153300000000
208,19,2023,52500,11.5,163500000000
209,19,2024,55700,10.5,174400000000
210,20,2014,33800,18.4,96000000000
211,20,2015,35300,17.9,100200000000
212,20,2016,36900,17.3,104700000000
213,20,2017,38600,16.7,109400000000
214,20,2018,40400,16.2,114500000000
215,20,2019,42300,15.6,119900000000
216,20,2020,41100,19.8,116300000000
217,20,2021,43600,17.0,123500000000
218,20,2022,46300,14.5,131600000000
219,20,2023,49200,13.2,140400000000
220,20,2024,52300,12.1,149900000000
221,21,2014,39600,14.1,134000000000
222,21,2015,41300,13.5,139900000000
223,21,2016,43200,13.0,146100000000
224,21,2017,45200,12.4,152700000000
225,21,2018,47300,11.9,159700000000
226,21,2019,49500,11.4,167200000000
227,21,2020,48100,15.0,162300000000
228,21,2021,51000,12.7,172200000000
229,21,2022,54100,10.9,183500000000
230,21,2023,57500,9.9,195600000000
231,21,2024,61100,9.1,208500000000
232,22,2014,68500,7.1,898000000000
233,22,2015,71500,6.7,937000000000
234,22,2016,74700,6.3,977900000000
235,22,2017,78100,6.0,1020900000000
236,22,2018,81800,5.6,1066200000000
237,22,2019,85700,5.3,1114000000000
238,22,2020,83400,8.8,1081100000000
239,22,2021,88300,7.1,1146600000000
240,22,2022,93700,6.0,1221800000000
241,22,2023,99400,5.4,1302800000000
242,22,2024,105500,4.9,1389200000000
243,23,2014,38700,14.9,128000000000
244,23,2015,40400,14.3,133600000000
245,23,2016,42200,13.8,139500000000
246,23,2017,44100,13.2,145800000000
247,23,2018,46200,12.7,152500000000
248,23,2019,48400,12.2,159600000000
249,23,2020,47000,15.9,154900000000
250,23,2021,49800,13.5,164300000000
251,23,2022,52900,11.5,175100000000
252,23,2023,56200,10.5,186700000000
253,23,2024,59700,9.6,199100000000
254,24,2014,37500,15.6,116000000000
255,24,2015,39200,15.0,121000000000
256,24,2016,41000,14.5,126400000000
257,24,2017,42900,13.9,132100000000
258,24,2018,44900,13.4,138200000000
259,24,2019,47000,12.8,144600000000
260,24,2020,45700,16.7,140300000000
261,24,2021,48400,14.2,148900000000
262,24,2022,51400,12.1,158700000000
263,24,2023,54600,11.0,169200000000
264,24,2024,58000,10.1,180400000000
265,25,2014,36100,16.7,110000000000
266,25,2015,37700,16.1,114800000000
267,25,2016,39400,15.6,119900000000
268,25,2017,41200,15.0,125400000000
269,25,2018,43100,14.5,131200000000
270,25,2019,45100,13.9,137300000000
271,25,2020,43800,18.1,133200000000
272,25,2021,46500,15.4,141400000000
273,25,2022,49400,13.2,150600000000
274,25,2023,52500,12.0,160500000000
275,25,2024,55800,11.0,171200000000
276,26,2014,37900,15.2,122000000000
277,26,2015,39600,14.6,127300000000
278,26,2016,41400,14.1,133000000000
279,26,2017,43300,13.5,139000000000
