facility_id,subcounty_id,county_id,facility_name,facility_type,bed_capacity
1,173,27,Health_FHTLMB,Health Centre,12
2,284,46,Health_EFDMFU,Sub-county Hospital,10
3,10,2,Health_GPUSHI,County Hospital,4
4,36,7,Health_TZRKPR,Health Centre,8
5,90,14,Health_EHVFOB,County Hospital,10
6,283,46,Health_MXTEPQ,Clinic,8
7,38,7,Health_JJKSQB,Health Centre,10
8,121,18,Health_SPOOBZ,Dispensary,9
9,135,20,Health_HMDWLD,Dispensary,9
10,211,31,Health_NCZANS,Sub-county Hospital,9
11,226,33,Health_JLJBNP,County Hospital,14
12,240,36,Health_ISYNON,Dispensary,8
13,4,1,Health_RLUMOZ,Sub-county Hospital,11
14,127,18,Health_BVMMNI,Dispensary,16
15,275,44,Health_KLFZEA,Sub-county Hospital,6
16,232,34,Health_EHUCFG,Dispensary,12
17,127,18,Health_SNGBTP,Health Centre,10
18,141,22,Health_NWEWQT,Sub-county Hospital,15
19,279,45,Health_OHBNOI,County Hospital,8
20,210,31,Health_DGZGJW,Sub-county Hospital,8
21,251,38,Health_HOGFMR,Sub-county Hospital,8
22,45,8,Health_PZQNCV,County Hospital,16
23,258,40,Health_IHUGLD,Health Centre,17
24,198,30,Health_XYMJIA,Health Centre,8
25,168,26,Health_YISEOE,Dispensary,6
26,200,30,Health_WRCJXD,Clinic,8
27,162,25,Health_EZRMZI,County Hospital,5
28,33,6,Health_MCTUUK,County Hospital,6
29,118,18,Health_FZCPJY,County Hospital,9
30,248,38,Health_RJHYZW,County Hospital,10
31,17,3,Health_CFLCYG,County Hospital,5
32,142,22,Health_OKHMIB,Dispensary,5
33,216,31,Health_BLOWDB,Dispensary,9
34,213,31,Health_JUXGEM,Health Centre,8
35,194,30,Health_VMQTZT,Health Centre,10
36,160,25,Health_YNBTPI,County Hospital,10
37,78,13,Health_SYTOWI,County Hospital,10
38,121,18,Health_NDWGCP,Dispensary,12
39,151,23,Health_YDHBGD,Sub-county Hospital,9
40,44,8,Health_OJXXFU,Health Centre,7
41,129,18,Health_YOHBIS,Health Centre,7
42,176,27,Health_TFWKIH,Clinic,4
43,60,11,Health_JAFRMK,Sub-county Hospital,7
44,123,18,Health_EMOOOC,Dispensary,8
45,49,9,Health_BVTPTN,Sub-county Hospital,10
46,166,26,Health_NRLKQW,County Hospital,11
47,2,1,Health_SGVEXN,Dispensary,9
48,269,43,Health_ULUYBJ,Sub-county Hospital,12
49,283,46,Health_IBBFTL,County Hospital,8
50,35,7,Health_DQJPUC,Sub-county Hospital,12
51,32,6,Health_SXJXKQ,Health Centre,12
52,107,16,Health_NIXSAI,Health Centre,9
53,274,44,Health_VZSTHN,County Hospital,16
54,126,18,Health_GMBSKR,Clinic,6
55,280,45,Health_MAXNJZ,County Hospital,13
56,100,16,Health_WGOFEU,County Hospital,14
57,168,26,Health_AALTQC,Clinic,9
58,6,1,Health_ZYTZJR,Sub-county Hospital,7
59,258,40,Health_HYEZZH,Health Centre,7
60,246,38,Health_TCFIWQ,County Hospital,12
61,290,47,Health_LELFPP,Dispensary,11
62,147,22,Health_ZAERIL,Health Centre,12
63,244,37,Health_OBTOPH,Dispensary,8
64,177,27,Health_XEMMKY,Clinic,7
65,233,35,Health_VBQZEP,Sub-county Hospital,7
66,51,9,Health_NITXCP,Clinic,8
67,134,20,Health_IPBCWO,Clinic,9
68,265,42,Health_CGKOZM,Health Centre,10
69,79,13,Health_MALUEN,Dispensary,8
70,262,42,Health_GSJBVO,Dispensary,14
71,285,46,Health_OJZMUZ,Sub-county Hospital,16
72,122,18,Health_KOSXTB,Clinic,8
73,157,24,Health_WDWGFM,Clinic,13
74,138,20,Health_QSQGII,County Hospital,11
75,42,8,Health_EYOHEA,County Hospital,9
76,189,29,Health_OOUHOJ,County Hospital,10
77,107,16,Health_XDKMYL,Sub-county Hospital,5
78,275,44,Health_NLBVIF,Dispensary,8
79,16,3,Health_FUHOEQ,Clinic,13
80,17,3,Health_DIHJTM,Clinic,12
81,192,30,Health_HAAARZ,Dispensary,10
82,152,23,Health_ZHCXTP,Dispensary,5
83,163,25,Health_VDFLOO,Clinic,19
84,113,17,Health_SWPZAZ,Dispensary,12
85,239,36,Health_OCYWTC,Clinic,9
86,206,30,Health_JQAZFC,County Hospital,12
87,251,38,Health_NDZTHX,Clinic,15
88,172,26,Health_WTBVMF,Clinic,10
89,193,30,Health_ETKMRU,Dispensary,12
90,157,24,Health_NGXKTK,County Hospital,7
91,245,37,Health_IUALAF,County Hospital,11
92,212,31,Health_WPMKFK,Health Centre,12
93,45,8,Health_IHBSGG,Clinic,11
94,256,40,Health_VRSFJK,Clinic,14
95,32,6,Health_PWOWMI,Sub-county Hospital,9
96,215,31,Health_RKUAMZ,Sub-county Hospital,17
97,263,42,Health_IJMXJJ,Dispensary,10
98,95,15,Health_WUZBVX,Clinic,14
99,14,3,Health_MTECUT,Clinic,7
100,155,24,Health_XPABHU,Health Centre,6
101,240,36,Health_LCADOY,Clinic,4
102,8,2,Health_FSQENT,Clinic,11
103,109,17,Health_YIOAQZ,Clinic,10
104,189,29,Health_BVINYQ,County Hospital,10
105,54,10,Health_FULCCN,Sub-county Hospital,11
106,197,30,Health_BOTWFB,Dispensary,14
107,285,46,Health_LNJKDV,Health Centre,9
108,108,17,Health_FWKDTM,Dispensary,10
109,279,45,Health_JEWEUY,Sub-county Hospital,9
110,76,13,Health_QHKJLV,Health Centre,5
111,123,18,Health_VBJWWF,Sub-county Hospital,12
112,140,21,Health_NGJIAM,Dispensary,10
113,205,30,Health_SOCALK,Dispensary,10
114,184,28,Health_PRRATD,Sub-county Hospital,10
115,159,24,Health_YIVOUD,County Hospital,17
116,27,5,Health_AOVEEX,Clinic,8
117,81,13,Health_GGLUTS,Health Centre,12
118,274,44,Health_ZSMPIF,Health Centre,5
119,66,11,Health_SUZXMZ,Health Centre,9
120,158,24,Health_LBMVPC,Clinic,11
121,1,1,Health_YENFRF,Clinic,7
122,160,25,Health_ANMGQH,Dispensary,9
123,156,24,Health_XHPZYN,Sub-county Hospital,13
124,9,2,Health_ZVJBMA,Health Centre,9
125,201,30,Health_OUHZMY,County Hospital,9
126,285,46,Health_HRMWTJ,County Hospital,9
127,216,31,Health_WUIPWX,Health Centre,4
128,278,45,Health_DXKNLB,Dispensary,17
129,113,17,Health_FVEDGZ,Dispensary,9
130,40,7,Health_ZYMEUD,Sub-county Hospital,13
131,190,30,Health_DKOLQH,County Hospital,11
132,265,42,Health_ORJPBZ,Sub-county Hospital,10
133,271,43,Health_MPRUCS,County Hospital,7
134,183,28,Health_ROQIXW,Dispensary,17
135,132,19,Health_HWXRWS,Dispensary,11
136,41,8,Health_OJTDGJ,Health Centre,9
137,106,16,Health_KFDFDM,Sub-county Hospital,10
138,120,18,Health_KIPVKG,Clinic,9
139,72,12,Health_FQSYEE,County Hospital,15
140,198,30,Health_GTINYX,Clinic,5
141,184,28,Health_CKRHBK,County Hospital,6
142,166,26,Health_GFDTBL,Clinic,11
143,148,23,Health_YBHNOA,Health Centre,10
144,239,36,Health_UOSFOD,Dispensary,13
145,291,47,Health_EYWRSD,Sub-county Hospital,9
146,1,1,Health_STHAAD,Health Centre,17
147,132,19,Health_WYVYUP,Dispensary,6
148,289,47,Health_RBHQMW,Sub-county Hospital,9
149,141,22,Health_HIQLUQ,Health Centre,9
150,205,30,Health_PZEUGK,Dispensary,10
151,162,25,Health_SJCEMH,Clinic,8
152,167,26,Health_UBAWZE,Clinic,10
153,141,22,Health_KDAZDF,County Hospital,4
154,83,13,Health_CURENF,Dispensary,9
155,207,30,Health_VRWZTU,County Hospital,10
156,40,7,Health_HLVXMB,Clinic,7
157,187,29,Health_KFAOZC,Sub-county Hospital,9
158,38,7,Health_ZUXXBR,Sub-county Hospital,6
159,148,23,Health_JAUOJS,Dispensary,14
160,277,45,Health_JPBIIC,Clinic,9
161,133,19,Health_ZGUXKI,County Hospital,14
162,188,29,Health_AZPXOJ,Sub-county Hospital,19
