project_id,county_id,project_name,project_type,start_year,completion_status
1,38,Infra_0ATUJS,Hospital upgrade,2014,Planned
2,30,Infra_J0193Y,Bridge,2014,Completed
3,15,Infra_5D9Y0F,Road,2006,Planned
4,32,Infra_2XZT9O,School construction,2010,Ongoing
5,33,Infra_9WUVFX,School construction,2023,Planned
6,27,Infra_DVX45H,Bridge,2013,Completed
7,2,Infra_VBA4RL,Electricity,2021,Planned
8,13,Infra_ZYZL13,School construction,2021,Completed
9,10,Infra_P1MLVB,Water supply,2009,Ongoing
10,47,Infra_XZXUW4,Electricity,2023,Completed
11,30,Infra_YZ9U8L,Water supply,2020,Ongoing
12,35,Infra_NF7PW5,Hospital upgrade,2005,Completed
13,36,Infra_LVJWNU,School construction,2020,Planned
14,20,Infra_YVORM8,Water supply,2021,Planned
15,46,Infra_MKE3JC,Bridge,2007,Completed
16,22,Infra_287VJ3,Water supply,2011,Planned
17,24,Infra_980SPX,Hospital upgrade,2010,Completed
18,29,Infra_D59P2J,Road,2007,Planned
19,3,Infra_EN2CKE,Electricity,2013,Planned
20,28,Infra_7WRJ4D,Water supply,2013,Ongoing
21,42,Infra_A0BS51,Road,2019,Completed
22,23,Infra_QU4T4J,Hospital upgrade,2017,Ongoing
23,22,Infra_O91DX6,Electricity,2022,Planned
24,14,Infra_UOWVM6,Bridge,2020,Ongoing
25,19,Infra_XKWLKF,Water supply,2015,Completed
26,32,Infra_FA8SRD,School construction,2008,Planned
27,31,Infra_6VEXDK,Road,2008,Ongoing
28,9,Infra_S9FSYB,Hospital upgrade,2009,Ongoing
29,25,Infra_PMZJT6,School construction,2024,Completed
30,19,Infra_P0U3SP,Water supply,2021,Ongoing
31,8,Infra_SM04ZF,Bridge,2008,Planned
32,30,Infra_OSED0G,Water supply,2020,Ongoing
33,17,Infra_W9T90H,Electricity,2020,Ongoing
34,18,Infra_QBIRXS,Hospital upgrade,2019,Ongoing
35,30,Infra_J8G15U,Bridge,2013,Completed
36,43,Infra_COHV4U,Electricity,2015,Ongoing
37,47,Infra_THRONZ,Water supply,2016,Ongoing
38,1,Infra_NT9YPA,Road,2020,Completed
39,22,Infra_NOUDTR,School construction,2013,Ongoing
40,4,Infra_8F0S8D,Hospital upgrade,2009,Completed
41,14,Infra_X4T3JY,Water supply,2006,Planned
42,24,Infra_YF24E5,Bridge,2012,Ongoing
43,30,Infra_26J39M,Road,2023,Completed
44,4,Infra_F747LT,Bridge,2013,Completed
45,8,Infra_O71KFV,Bridge,2008,Completed
46,18,Infra_1WSC0A,Electricity,2015,Ongoing
47,2,Infra_5SHZI8,Electricity,2019,Planned
48,5,Infra_RZ162Y,School construction,2007,Ongoing
49,22,Infra_H29MZI,Bridge,2019,Ongoing
50,38,Infra_DVBZ4V,School construction,2017,Completed
51,17,Infra_507OWY,School construction,2005,Completed
52,45,Infra_D2A7DO,School construction,2015,Completed
53,10,Infra_WLWXF1,Water supply,2007,Planned
54,24,Infra_7MW5QE,Electricity,2008,Completed
55,35,Infra_9MQW5V,School construction,2009,Ongoing
56,2,Infra_K046GN,Electricity,2022,Ongoing
57,3,Infra_DBQE55,Hospital upgrade,2011,Ongoing
58,19,Infra_3AWZ6Z,Water supply,2012,Completed
59,13,Infra_BNMDBH,Road,2013,Completed
60,44,Infra_U5L57D,Hospital upgrade,2012,Ongoing
61,16,Infra_G2M190,Water supply,2016,Completed
62,41,Infra_9ZMQVW,Bridge,2005,Ongoing
63,9,Infra_CP1ZBT,Water supply,2006,Planned
64,16,Infra_GMOU8G,Water supply,2009,Planned
65,36,Infra_XPZ8ET,School construction,2010,Completed
66,18,Infra_E4DC86,Bridge,2021,Ongoing
67,47,Infra_DQ8IJJ,School construction,2011,Planned
68,11,Infra_9OH66Z,School construction,2005,Completed
69,41,Infra_J9GUG8,Road,2014,Completed
70,2,Infra_HQCATT,Hospital upgrade,2007,Ongoing
71,35,Infra_KSSPD9,School construction,2019,Ongoing
72,30,Infra_7TXZNB,Bridge,2009,Ongoing
73,19,Infra_I7O4L7,Bridge,2018,Planned
74,32,Infra_CE6A8R,Electricity,2024,Planned
75,28,Infra_JZZHOP,Bridge,2014,Completed
76,31,Infra_WHFYQP,Hospital upgrade,2007,Planned
77,30,Infra_K7J8DQ,Hospital upgrade,2007,Completed
78,32,Infra_3FLRIZ,Water supply,2018,Planned
79,11,Infra_SKQMM4,School construction,2017,Ongoing
80,11,Infra_PPBN7C,Road,2019,Ongoing
81,22,Infra_DK6HVA,Hospital upgrade,2006,Ongoing
82,11,Infra_1F2Q40,Bridge,2010,Planned
83,8,Infra_N8JMIT,Electricity,2011,Ongoing
84,11,Infra_D1GH6D,Bridge,2011,Planned
85,30,Infra_WMZUZD,Road,2017,Planned
86,18,Infra_RW7GJZ,School construction,2010,Completed
87,42,Infra_BW3K8M,Electricity,2009,Ongoing
88,3,Infra_I1NB9S,Electricity,2011,Completed
89,22,Infra_Y4A1Z9,Hospital upgrade,2017,Ongoing
90,20,Infra_X8V3KU,Road,2013,Completed
91,44,Infra_FWWVF3,Water supply,2023,Completed
92,47,Infra_8E0SVG,Water supply,2011,Ongoing
93,16,Infra_6FKUP3,Electricity,2015,Planned
94,29,Infra_F4THMU,Water supply,2017,Planned
95,8,Infra_VF3GVE,Electricity,2018,Planned
96,18,Infra_5KON1S,Water supply,2010,Ongoing
97,15,Infra_CPX5BC,Hospital upgrade,2010,Planned
98,34,Infra_IZX8FU,Hospital upgrade,2011,Ongoing
99,20,Infra_2O7WR1,Bridge,2022,Ongoing
100,4,Infra_CIXFQO,Electricity,2024,Ongoing
101,31,Infra_SB1OU3,Bridge,2018,Ongoing
102,33,Infra_OC3M1V,Bridge,2010,Planned
103,11,Infra_MTZB88,Bridge,2021,Ongoing
104,11,Infra_CPPVNO,Water supply,2005,Ongoing
105,22,Infra_FILWRH,Electricity,2010,Completed
106,32,Infra_UP6991,Road,2010,Ongoing
107,28,Infra_88ZUKL,Electricity,2016,Ongoing
108,6,Infra_0G067Z,Electricity,2013,Ongoing
109,11,Infra_AOB9RW,Hospital upgrade,2010,Completed
110,4,Infra_R8QT3F,Road,2015,Completed
111,43,Infra_7FF5SG,School construction,2007,Completed
112,17,Infra_FSIOIL,Road,2024,Ongoing
113,18,Infra_EYR5DE,School construction,2007,Ongoing
114,7,Infra_92J0N4,Water supply,2013,Completed
115,12,Infra_9D188E,Bridge,2022,Ongoing
116,13,Infra_1DOYUW,School construction,2006,Planned
117,43,Infra_J4S8LV,Road,2008,Planned
118,28,Infra_3SY5MN,Bridge,2017,Planned
119,36,Infra_DO8GHQ,Road,2014,Ongoing
120,18,Infra_WER3Q7,School construction,2013,Completed
121,26,Infra_F18LIY,Hospital upgrade,2008,Ongoing
122,3,Infra_D9H36R,Electricity,2014,Planned
123,45,Infra_64IQVG,Hospital upgrade,2006,Planned
124,46,Infra_F3MB68,Electricity,2005,Ongoing
125,39,Infra_FV8LF0,Hospital upgrade,2020,Completed
126,3,Infra_OD8FNP,School construction,2015,Completed
127,45,Infra_5HNNRZ,Road,2020,Ongoing
128,42,Infra_XRL77K,Bridge,2024,Completed
129,30,Infra_FQ5QQS,Road,2007,Planned
130,18,Infra_YXN26W,Hospital upgrade,2006,Completed
131,42,Infra_PMFBG2,Bridge,2015,Planned
132,29,Infra_1V2HEZ,Electricity,2018,Planned
133,16,Infra_IB3XJ8,School construction,2010,Planned
134,28,Infra_8R6IG3,Hospital upgrade,2021,Ongoing
135,18,Infra_HQ3OVW,Road,2019,Ongoing
136,18,Infra_GL5JJ4,Road,2016,Completed
137,13,Infra_LHS4WF,School construction,2016,Completed
138,38,Infra_7PKXEF,Water supply,2007,Ongoing
139,26,Infra_7QTWOP,Hospital upgrade,2015,Ongoing
140,39,Infra_Q4BX9C,Hospital upgrade,2005,Planned
141,30,Infra_81G7OQ,School construction,2019,Completed
142,18,Infra_8XR9HE,School construction,2008,Planned
143,42,Infra_KU8LUI,Electricity,2006,Completed
144,2,Infra_KK0XFW,School construction,2019,Ongoing
145,20,Infra_1H5M56,Electricity,2009,Completed
146,3,Infra_MR47HM,Water supply,2010,Completed
147,30,Infra_8BLEBX,Bridge,2008,Completed
148,3,Infra_2ZJBWF,School construction,2023,Completed
149,27,Infra_T0S6DO,Water supply,2014,Completed
150,17,Infra_TILUB9,Bridge,2023,Ongoing
151,18,Infra_RL3VMU,Water supply,2023,Completed
152,6,Infra_6MPZEV,School construction,2014,Completed
153,32,Infra_JAQ229,School construction,2023,Completed
154,14,Infra_WD6NLA,Electricity,2014,Ongoing
155,42,Infra_8DZ4AA,Water supply,2009,Completed
156,11,Infra_13E8Q3,Hospital upgrade,2010,Completed
157,30,Infra_SCQMO1,School construction,2010,Planned
158,42,Infra_X6MQI8,Bridge,2018,Ongoing
159,22,Infra_3QE27M,Road,2020,Completed
160,10,Infra_T7UUG1,School construction,2015,Ongoing
161,10,Infra_VYQ1D9,Hospital upgrade,2022,Completed
162,16,Infra_47W363,Road,2014,Planned
163,31,Infra_10V0ZP,Hospital upgrade,2016,Completed
164,18,Infra_ABJDMQ,Bridge,2021,Completed
165,18,Infra_RHTR05,Hospital upgrade,2022,Planned
166,19,Infra_GSVR3S,Water supply,2021,Planned
167,11,Infra_C22N25,Electricity,2023,Ongoing
168,23,Infra_7MD1HC,Electricity,2021,Completed
169,24,Infra_P0DVXV,Bridge,2019,Completed
170,29,Infra_NZXVFV,Bridge,2011,Planned
171,11,Infra_A6A053,Hospital upgrade,2007,Ongoing
172,42,Infra_LWA89L,Electricity,2009,Completed
173,30,Infra_WU6O1H,Bridge,2021,Ongoing
174,30,Infra_348ETH,Electricity,2006,Completed
175,11,Infra_0FY91Q,Road,2008,Completed
176,10,Infra_Q7OWI5,School construction,2017,Completed
177,12,Infra_F0OGUF,School construction,2024,Planned
178,13,Infra_PYQ2VY,Water supply,2006,Ongoing
179,26,Infra_U5GI9I,Electricity,2012,Planned
180,43,Infra_KV9VQ5,Electricity,2011,Planned
181,30,Infra_TDLAD6,Road,2019,Ongoing
182,18,Infra_0NKTFY,Electricity,2013,Planned
183,29,Infra_VQ1MHQ,Hospital upgrade,2012,Ongoing
184,3,Infra_48XJ7P,School construction,2005,Planned
185,35,Infra_ZZ6K0M,Hospital upgrade,2015,Planned
186,25,Infra_AF6Z27,Electricity,2018,Completed
187,31,Infra_H2AFFB,Electricity,2005,Completed
188,11,Infra_VPFUQO,Water supply,2017,Completed
189,35,Infra_RFFZT5,Road,2014,Planned
190,41,Infra_0WM1FH,School construction,2009,Completed
191,1,Infra_M7YWJR,Water supply,2013,Ongoing
192,40,Infra_VJDS8C,Road,2014,Ongoing
193,43,Infra_CPHW72,School construction,2021,Ongoing
194,2,Infra_EZ3SBL,Road,2014,Completed
195,12,Infra_DRVVQW,School construction,2010,Ongoing
196,30,Infra_6GWY8K,Road,2018,Planned
197,34,Infra_UMJQX0,Bridge,2010,Completed
198,45,Infra_7O9OFJ,Water supply,2019,Planned
199,35,Infra_WB81P2,Water supply,2015,Completed
200,8,Infra_NJ5M2X,School construction,2008,Completed
201,37,Infra_9AAMZS,Hospital upgrade,2018,Ongoing
202,31,Infra_N8D3G6,Bridge,2021,Completed
203,18,Infra_2FJ3RQ,Road,2018,Completed
204,25,Infra_OB9BV6,Bridge,2020,Ongoing
205,16,Infra_RJFEH1,School construction,2015,Completed
206,4,Infra_3CKPFP,Road,2007,Ongoing
207,46,Infra_3N5IIA,Water supply,2024,Completed
208,5,Infra_334DZY,Road,2016,Completed
209,39,Infra_F64QBM,School construction,2021,Planned
210,7,Infra_U7TQKD,Bridge,2012,Completed
211,32,Infra_12I06L,Bridge,2009,Ongoing
212,18,Infra_G9SMNA,Road,2019,Completed
213,5,Infra_GOCUWN,Water supply,2007,Ongoing
214,30,Infra_85P691,Hospital upgrade,2010,Completed
215,13,Infra_UN04GW,Road,2023,Ongoing
216,38,Infra_RUWQ24,Hospital upgrade,2015,Ongoing
217,31,Infra_VN60BL,Road,2006,Completed
218,8,Infra_YPXKDR,Water supply,2009,Planned
219,29,Infra_TEXIHU,Electricity,2021,Completed
220,11,Infra_OM6VTH,School construction,2022,Planned
221,30,Infra_Q80TH0,Hospital upgrade,2015,Completed
222,29,Infra_OYZROT,Road,2009,Completed
223,25,Infra_IJ6TKB,Water supply,2013,Planned
224,21,Infra_TNJV5K,School construction,2012,Planned
225,7,Infra_7ARMUM,Road,2016,Ongoing
226,26,Infra_QKEYNI,Bridge,2009,Ongoing
227,21,Infra_UCZ2HO,Water supply,2021,Ongoing
228,3,Infra_CO68QF,School construction,2012,Completed
229,12,Infra_NYSZW6,Water supply,2018,Completed
230,27,Infra_GB2C9Z,Electricity,2007,Planned
231,5,Infra_WT7M4P,Water supply,2012,Planned
232,18,Infra_8JESPT,Hospital upgrade,2013,Planned
233,23,Infra_VQG7OG,Water supply,2012,Planned
234,29,Infra_JQNNXQ,Road,2018,Planned
235,35,Infra_XC1H88,Hospital upgrade,2005,Completed
236,33,Infra_9ML748,Electricity,2010,Ongoing
237,18,Infra_9XKSKX,School construction,2006,Completed
238,25,Infra_H7P0BI,School construction,2016,Completed
239,31,Infra_BL9FY3,Water supply,2017,Ongoing
240,18,Infra_FWB6W1,Hospital upgrade,2023,Planned
241,30,Infra_AKCDXC,Electricity,2017,Ongoing
242,22,Infra_20HP6Q,Water supply,2006,Planned
243,13,Infra_1TZHEE,Bridge,2017,Ongoing
244,8,Infra_WSOKRX,Hospital upgrade,2022,Planned
245,7,Infra_UCMJFP,School construction,2008,Planned
246,47,Infra_L697OF,Road,2023,Planned
247,27,Infra_0R72CZ,Bridge,2024,Ongoing
248,14,Infra_OCFZ0I,Hospital upgrade,2024,Ongoing
249,42,Infra_SO7XEG,Road,2015,Ongoing
250,32,Infra_R3FGJV,Road,2015,Ongoing
251,30,Infra_LEKUM0,School construction,2005,Completed
252,35,Infra_36M8AU,Water supply,2016,Completed
253,17,Infra_36NGG6,Water supply,2018,Planned
254,11,Infra_IPWML4,Water supply,2008,Ongoing
255,13,Infra_2PZKHL,Road,2024,Completed
256,30,Infra_OBU41W,Hospital upgrade,2010,Ongoing
257,26,Infra_0RAMUX,Bridge,2005,Ongoing
258,24,Infra_HOUOU9,Road,2019,Planned
259,22,Infra_CX9SP8,Water supply,2010,Ongoing
260,41,Infra_7RM2KB,School construction,2007,Ongoing
261,26,Infra_XNDIJU,Water supply,2013,Completed
262,13,Infra_OP07DX,Hospital upgrade,2022,Planned
263,38,Infra_A03VAZ,Hospital upgrade,2010,Ongoing
264,23,Infra_TC2UYL,Water supply,2023,Ongoing
265,4,Infra_1HGJV2,School construction,2019,Completed
266,26,Infra_QGURPA,School construction,2007,Ongoing
267,26,Infra_3LA680,Bridge,2006,Ongoing
268,2,Infra_3F28GX,School construction,2012,Planned
269,30,Infra_LOHB88,Bridge,2015,Planned
270,30,Infra_QFYK1J,Road,2023,Planned
271,18,Infra_Z2GGEN,Hospital upgrade,2021,Ongoing
272,25,Infra_XDOJ8P,Water supply,2015,Planned
273,26,Infra_RSUTNZ,Road,2021,Completed
274,29,Infra_Q28UU5,Road,2019,Completed
275,17,Infra_G2UWRC,School construction,2007,Completed
276,14,Infra_2VJYC4,Bridge,2013,Completed
277,3,Infra_H05BD4,Hospital upgrade,2005,Ongoing
278,36,Infra_C57DX6,Hospital upgrade,2018,Ongoing
279,36,Infra_GP11NM,Bridge,2008,Completed
280,32,Infra_IUERVB,School construction,2015,Completed
281,45,Infra_MG327Z,Water supply,2015,Completed
282,1,Infra_Z4ROZT,Hospital upgrade,2009,Planned
283,11,Infra_RT9NZG,Hospital upgrade,2022,Completed
284,2,Infra_Z1YM2H,School construction,2010,Completed
285,9,Infra_5ZKFJ6,Water supply,2010,Planned
286,1,Infra_IUL0I5,School construction,2015,Ongoing
287,25,Infra_5Z1UUA,Hospital upgrade,2010,Ongoing
288,19,Infra_VU6Q1M,Bridge,2014,Completed
289,36,Infra_HSJM7M,Road,2013,Ongoing
290,33,Infra_5FO9YI,School construction,2014,Completed
291,3,Infra_FU7J0D,Bridge,2023,Ongoing
292,33,Infra_6Y1HXU,Bridge,2022,Completed
293,3,Infra_7M51C5,School construction,2010,Completed
294,45,Infra_2I6095,Electricity,2022,Planned
295,14,Infra_JS3YL5,Road,2024,Ongoing
296,10,Infra_OLT9OX,Bridge,2008,Completed
297,7,Infra_31AFK2,Road,2024,Planned
298,27,Infra_3ZTBEK,Hospital upgrade,2018,Completed
299,5,Infra_XC66FA,School construction,2014,Planned
300,24,Infra_X0O37R,Hospital upgrade,2023,Ongoing
301,33,Infra_07N9SX,Electricity,2014,Planned
302,19,Infra_SJW50E,Hospital upgrade,2005,Planned
303,27,Infra_5W88AI,School construction,2019,Completed
304,21,Infra_PI4514,Water supply,2019,Completed
305,27,Infra_OPE1ML,Water supply,2021,Completed
306,26,Infra_MOSDQX,Hospital upgrade,2005,Planned
307,31,Infra_CFEO16,Bridge,2011,Planned
308,31,Infra_G9SL5L,Electricity,2018,Ongoing
309,7,Infra_BPSMPV,Road,2024,Planned
310,11,Infra_VXC6VA,Bridge,2007,Completed
311,18,Infra_4CQRSG,Bridge,2012,Ongoing
312,26,Infra_IDQCEH,School construction,2015,Ongoing
313,13,Infra_8I1U4A,Water supply,2014,Completed
314,30,Infra_17FZPY,Water supply,2005,Completed
315,47,Infra_VQRP4V,Bridge,2014,Completed
316,18,Infra_BPN4J5,Electricity,2021,Ongoing
317,12,Infra_U2RW5O,Electricity,2014,Completed
318,34,Infra_GDCV77,Bridge,2009,Planned
319,29,Infra_XVRKKX,Hospital upgrade,2019,Ongoing
320,3,Infra_RZTDMZ,Road,2014,Planned
321,38,Infra_YOUEZ4,Water supply,2018,Completed
322,35,Infra_QHKKKA,School construction,2021,Completed
323,7,Infra_MZ8SPS,Electricity,2008,Planned
324,14,Infra_ZN40BW,Bridge,2024,Completed
325,17,Infra_15FL5X,Bridge,2019,Planned
326,18,Infra_JNGI8N,Hospital upgrade,2020,Ongoing
327,18,Infra_IHCR1Q,Hospital upgrade,2011,Completed
328,22,Infra_CNU34L,Hospital upgrade,2020,Planned
329,8,Infra_X0NBXE,Electricity,2023,Ongoing
330,15,Infra_C46D08,Hospital upgrade,2024,Completed
331,30,Infra_CUWWAT,Hospital upgrade,2016,Planned
332,30,Infra_ESTSDX,Electricity,2008,Completed
333,22,Infra_SD473V,Bridge,2017,Ongoing
334,20,Infra_44YOF8,School construction,2017,Planned
335,42,Infra_2MJD4D,Road,2020,Completed
336,15,Infra_YFFF2G,Road,2011,Ongoing
337,30,Infra_W2TCU2,Electricity,2015,Ongoing
338,3,Infra_6WVFT3,Hospital upgrade,2015,Ongoing
339,13,Infra_D0ZHXE,Hospital upgrade,2005,Planned
340,47,Infra_WODAT5,Water supply,2022,Planned
341,36,Infra_2XEW0B,Water supply,2007,Ongoing
342,30,Infra_6MUX5I,School construction,2007,Planned
343,35,Infra_PSFG0E,Bridge,2015,Completed
344,9,Infra_QMIPBD,Road,2016,Planned
345,27,Infra_92FDIE,School construction,2016,Ongoing
346,22,Infra_HLJEU8,Bridge,2006,Planned
347,29,Infra_CR1RW2,School construction,2024,Completed
348,8,Infra_4VNR8I,Electricity,2012,Planned
349,30,Infra_WHXB8M,Water supply,2017,Ongoing
350,7,Infra_77TAUZ,School construction,2014,Ongoing
351,31,Infra_JX2A0Z,Hospital upgrade,2018,Completed
352,6,Infra_EKIH5K,Electricity,2005,Completed
353,2,Infra_O80U07,Bridge,2006,Ongoing
354,15,Infra_62S564,Bridge,2016,Ongoing
355,9,Infra_HBZ980,Hospital upgrade,2022,Ongoing
356,11,Infra_SYJJ3E,Hospital upgrade,2007,Planned
357,39,Infra_602J1Z,Road,2017,Ongoing
358,23,Infra_0LT9S5,Electricity,2022,Completed
359,26,Infra_28QIXL,Hospital upgrade,2019,Completed
360,28,Infra_ZHVET3,Bridge,2015,Completed
361,34,Infra_OC5DL2,Water supply,2017,Ongoing
362,4,Infra_IWXT0M,Hospital upgrade,2008,Completed
363,12,Infra_WGDILD,Water supply,2020,Ongoing
364,14,Infra_GCEH67,Electricity,2011,Completed
365,40,Infra_T5YGPM,Electricity,2020,Ongoing
366,22,Infra_TGE7QR,Water supply,2016,Planned
367,27,Infra_VPIF2B,Hospital upgrade,2010,Planned
368,7,Infra_BVVJAC,Electricity,2021,Completed
369,23,Infra_9G80VR,Water supply,2006,Completed
370,11,Infra_F7L2HL,Bridge,2022,Planned
371,38,Infra_5D37O2,School construction,2014,Completed
372,14,Infra_QFUSEZ,Hospital upgrade,2008,Planned
373,30,Infra_GQ66BG,Hospital upgrade,2009,Completed
374,44,Infra_GP980C,Hospital upgrade,2012,Ongoing
375,29,Infra_P4HEWP,Bridge,2008,Completed
376,12,Infra_B8P2JI,Water supply,2013,Ongoing
377,26,Infra_5NRSGL,Hospital upgrade,2018,Ongoing
378,11,Infra_Z7HSCM,Bridge,2023,Ongoing
379,20,Infra_82PSRG,Hospital upgrade,2019,Completed
380,26,Infra_0BLCLZ,School construction,2008,Completed
381,30,Infra_0V3FWC,Road,2020,Completed
382,3,Infra_5RVE82,Road,2012,Completed
383,36,Infra_RDKM98,Water supply,2011,Planned
384,29,Infra_D99KKM,School construction,2009,Ongoing
385,28,Infra_H39SIC,Hospital upgrade,2011,Completed
386,42,Infra_TNGD9A,Electricity,2017,Completed
