school_id,subcounty_id,county_id,school_name,level,enrolment
1,235,35,School_CYOWZB,Secondary,71
2,31,6,School_HBKYRD,Secondary,460
3,139,21,School_TJIWMN,TVET,170
4,24,4,School_FVEZIC,Primary,839
5,94,14,School_MHPEHS,Primary & Secondary,244
6,83,13,School_DLNPUJ,Secondary,454
7,65,11,School_ZTHSCK,Primary & Secondary,469
8,110,17,School_LGXEWI,Secondary,654
9,199,30,School_IJBWTH,Primary & Secondary,571
10,107,16,School_MJBWUG,TVET,286
11,154,24,School_VUYJGM,TVET,397
12,131,19,School_MRRIUU,Primary & Secondary,259
13,93,14,School_ALDUBC,TVET,628
14,204,30,School_ZODQQX,Secondary,1201
15,262,42,School_UTVVUY,TVET,191
16,139,21,School_SASDVG,TVET,586
17,61,11,School_VRRNST,Primary,317
18,115,18,School_YXRQAY,Secondary,870
19,186,29,School_RDKBKP,Primary,783
20,249,38,School_LGPPWS,Primary,101
21,288,47,School_PIKSGG,Secondary,740
22,83,13,School_SSXIUV,TVET,920
23,57,11,School_YYONCJ,Secondary,594
24,292,47,School_OZKWTJ,TVET,78
25,175,27,School_TWNGCO,Primary & Secondary,26
26,255,40,School_NXZAIL,Primary & Secondary,283
27,21,4,School_ELKWOL,Secondary,291
28,166,26,School_QAMWQC,Primary & Secondary,457
29,102,16,School_OQFUIJ,Primary,484
30,147,22,School_KDTQNS,Secondary,20
31,218,32,School_BEXDKV,Primary & Secondary,854
32,52,10,School_JBXMVK,Secondary,613
33,11,2,School_MCNFPM,Secondary,516
34,247,38,School_GLJWAG,Primary,63
35,190,30,School_DQRXGY,TVET,668
36,25,4,School_ZEBLCH,Secondary,468
37,275,44,School_DIIAZM,Primary,562
38,189,29,School_PCYLOY,Primary & Secondary,1017
39,154,24,School_XPIBVH,TVET,556
40,110,17,School_LKEUUO,TVET,639
41,237,35,School_VSUHML,Secondary,601
42,262,42,School_TCBRXM,Primary,343
43,133,19,School_JNBMFV,Primary,608
44,106,16,School_WMIPLS,Primary & Secondary,256
45,282,46,School_BIFGRH,Primary,611
46,144,22,School_LFZXMO,Primary,439
47,105,16,School_JZLNBO,TVET,418
48,210,31,School_WOMTQU,Secondary,649
49,253,39,School_FVTCWP,Primary,132
50,232,34,School_UNPXQH,Primary & Secondary,351
51,222,32,School_JGBNSP,Secondary,150
52,204,30,School_IBLKOT,TVET,332
53,121,18,School_FLYFTA,Primary,1350
54,17,3,School_PBLJQU,TVET,780
55,14,3,School_ZHAJIV,TVET,736
56,57,11,School_DLPQUD,TVET,373
57,213,31,School_HUVRHN,Primary & Secondary,608
58,253,39,School_LUMLMO,TVET,688
59,55,10,School_APRITV,Secondary,436
60,279,45,School_FQTVKG,Primary,946
61,128,18,School_RKXIOX,Primary,722
62,166,26,School_IRFNNY,Primary,307
63,30,5,School_PHBPLP,Primary,20
64,127,18,School_CBOZOH,Secondary,658
65,224,33,School_FUGATT,Secondary,762
66,43,8,School_XYMAML,Secondary,182
67,117,18,School_OUZCIU,Primary,20
68,206,30,School_RRAYYJ,Primary,342
69,249,38,School_USDJPL,Secondary,158
70,234,35,School_CJIAFE,TVET,814
71,105,16,School_ZWTYCA,TVET,510
72,87,13,School_ALGIHU,Primary,303
73,160,25,School_OCNSNG,TVET,352
74,251,38,School_ELLVZS,Primary & Secondary,839
75,173,27,School_DKEHZV,Primary,408
76,185,29,School_FTYHUD,Secondary,604
77,41,8,School_LVLOQP,Primary,252
78,123,18,School_ZRGLLW,Primary,162
79,98,15,School_SMZHQO,TVET,308
80,167,26,School_UKCWOA,Primary & Secondary,403
81,159,24,School_UJIGZD,Secondary,485
82,229,34,School_GLKSKS,Primary,770
83,62,11,School_YQBQIX,Primary,847
84,60,11,School_BAIKSN,Primary & Secondary,1000
85,202,30,School_OEWNXS,TVET,30
86,62,11,School_RKFUDZ,TVET,942
87,52,10,School_FGRFGM,TVET,1111
88,119,18,School_RBIUCY,Primary,574
89,80,13,School_OIINFL,TVET,891
90,79,13,School_XPPDRR,Primary,618
91,113,17,School_JMCLCX,Primary & Secondary,773
92,34,6,School_EDOHFL,TVET,393
93,272,43,School_GFFMJH,Primary & Secondary,639
94,75,12,School_NDFSBV,Primary & Secondary,282
95,41,8,School_PSVNAS,TVET,853
96,280,45,School_CQYLRS,TVET,557
97,143,22,School_CVHTRM,TVET,547
98,32,6,School_OEODIF,Secondary,111
99,136,20,School_BYNGVQ,Secondary,173
100,58,11,School_RDOBVP,Secondary,933
101,263,42,School_UATAHJ,Primary,355
102,143,22,School_SUJFZL,Secondary,584
103,68,11,School_HAGHWJ,Secondary,705
104,130,19,School_DHRIEL,Secondary,681
105,247,38,School_DDWYUG,Secondary,992
106,174,27,School_XBSCNR,Primary & Secondary,527
107,169,26,School_CZEIMR,Secondary,515
108,289,47,School_FPIIZP,Secondary,20
109,33,6,School_DAVCJZ,Primary & Secondary,607
110,199,30,School_BLCTUC,Primary,685
111,5,1,School_CYTROJ,Primary & Secondary,809
112,237,35,School_JKDHUM,TVET,1051
113,174,27,School_YGJPXM,Primary,306
114,207,30,School_DWJDBP,Secondary,206
115,243,37,School_TYPJTG,Secondary,557
116,106,16,School_ELTIGM,Primary & Secondary,20
117,75,12,School_BNSMIR,TVET,658
118,283,46,School_QYABQY,TVET,527
119,88,14,School_LMVIAP,Primary & Secondary,202
120,90,14,School_CYNYFC,Primary & Secondary,429
121,68,11,School_NHWXUJ,Secondary,37
122,155,24,School_RTXPEG,Secondary,44
123,120,18,School_IRGNGD,Secondary,551
124,241,36,School_JGRPOB,Primary & Secondary,20
125,166,26,School_BNQXLJ,Primary,621
126,67,11,School_YATFSM,TVET,878
127,155,24,School_OVJUII,Secondary,586
128,290,47,School_NKGPOL,Secondary,746
129,227,33,School_TAZQTQ,TVET,210
130,38,7,School_FHHQWE,Primary & Secondary,348
131,246,38,School_YVGGCK,Primary,378
132,59,11,School_ZHYWXF,Primary & Secondary,616
133,286,46,School_YRMJPT,TVET,127
134,210,31,School_YXCAPI,Primary & Secondary,626
135,210,31,School_HQPDHO,Primary,665
136,26,4,School_MAPQTB,Secondary,1170
137,44,8,School_SWPMVA,Secondary,245
